proto_gem_form,class_n
uberlīþaną,1
uberstīganą,1
rīstaną,1
glītaną,1
hnīganą,1
lībaną,1
diganą,1
firigrīpaną,1
þrībaną,1
rīfaną,1
uzbīdaną,1
slībaną,1
wlītaną,1
sprīþaną,1
snīkaną,1
rīpaną,1
bīdaną,1
bilībaną,1
biskīnaną,1
bītaną,1
blīkaną,1
dīkaną,1
drībaną,1
drītaną,1
dwīnaną,1
fīsaną,1
fradrībaną,1
frawītaną,1
gīnaną,1
glīdaną,1
glīmaną,1
glīpaną,1
gnīdaną,1
grīnaną,1
grīpaną,1
grīsaną,1
hlīdaną,1
hnīpaną,1
hnītaną,1
hnīwaną,1
hrībaną,1
hrīnaną,1
hrītaną,1
hwīnaną,1
kībaną,1
kīkaną,1
kīnaną,1
klībaną,1
klinaną,1
knīpaną,1
krīskaną,1
krītaną,1
kwīnaną,1
līhwaną,1
līþaną,1
mīganą,1
mīþaną,1
pīpaną,1
rīdaną,1
rīhaną,1
rīmaną,1
rīsaną,1
sīganą,1
sīhwaną,1
sīpaną,1
sīþaną,1
skīnaną,1
skītaną,1
skrīaną,1
skrībaną,1
skrītaną,1
skrīþaną,1
slīdaną,1
slīkaną,1
slīpaną,1
slītaną,1
smītaną,1
snīwaną,1
snīþaną,1
spīwaną,1
splītaną,1
stīganą,1
stikaną,1
strībaną,1
strīdaną,1
strīkaną,1
swībaną,1
swīkwaną,1
swīmaną,1
swīnaną,1
swīpaną,1
swīþaną,1
tīhaną,1
uzrīsaną,1
wiganą,1
wīkwaną,1
wīpaną,1
wītaną,1
wrībaną,1
wrīhaną,1
wrītaną,1
wrīþaną,1
þwīnaną,1
ubergeutaną,2
drūpaną,2
būganą,2
þūtaną,2
hreutaną,2
sprūtaną,2
streukaną,2
smūganą,2
leustaną,2
leusaną,2
hnewwaną,2
seukaną,2
reufaną,2
geusaną,2
hneupaną,2
breuþaną,2
greutaną,2
reudaną,2
anabeudaną,2
beudaną,2
beuganą,2
blewwaną,2
breutaną,2
brewwaną,2
dreuganą,2
dreupaną,2
dreusaną,2
dūbaną,2
dūkaną,2
feukaną,2
fleuganą,2
fleuhaną,2
fleutaną,2
fneusaną,2
fraleusaną,2
freusaną,2
freuþaną,2
furibeudaną,2
ganeutaną,2
geutaną,2
gleupaną,2
greupaną,2
heufaną,2
hleutaną,2
hneudaną,2
hneusaną,2
hreudaną,2
hreusaną,2
hrewwaną,2
hrūtaną,2
hūkaną,2
keusaną,2
kewwaną,2
kleubaną,2
kreukaną,2
kreupaną,2
kreustaną,2
krūdaną,2
leudaną,2
leuganą,2
leukaną,2
lūkaną,2
lūtaną,2
neutaną,2
reukaną,2
reutaną,2
seuþaną,2
skeubaną,2
skeutaną,2
sleupaną,2
sleutaną,2
slūkaną,2
smeuganą,2
smeukaną,2
sneufaną,2
spreutaną,2
steubaną,2
streupaną,2
stūpaną,2
sūganą,2
sūkaną,2
sūpaną,2
teuhaną,2
unþafleuhaną,2
uzþreutaną,2
þeutaną,2
þreutaną,2
þrewwaną,2
þrūtaną,2
frawerpaną,3
gerraną,3
slintaną,3
slimpaną,3
krinkaną,3
sterkaną,3
trimpaną,3
þehsaną,3
gerdaną,3
ninþaną,3
berkaną,3
þersaną,3
meltaną,3
derbaną,3
serþaną,3
tinganą,3
dingwaną,3
wreskwaną,3
hrindaną,3
tinnaną,3
andabindaną,3
belganą,3
bellaną,3
berganą,3
bibindaną,3
bigerdaną,3
bindaną,3
biwindaną,3
bregdaną,3
brestaną,3
brimmaną,3
brinnaną,3
delbaną,3
delganą,3
dimbaną,3
dintaną,3
drinkaną,3
fehtaną,3
felhaną,3
fertaną,3
finkaną,3
finþaną,3
flehtaną,3
frageldaną,3
fraslindaną,3
frawerþaną,3
gabindaną,3
gawerpaną,3
gawinnaną,3
geldaną,3
gellaną,3
ginnaną,3
glintaną,3
grimmaną,3
grindaną,3
hellaną,3
helpaną,3
hinkaną,3
hinþaną,3
hlimmaną,3
hrespaną,3
hrimpaną,3
hrinkwaną,3
hwelbaną,3
hwerbaną,3
kerbaną,3
kerzaną,3
kimbaną,3
klimbaną,3
klinganą,3
klinkwaną,3
krimmaną,3
krimpaną,3
kringaną,3
krintaną,3
kwellaną,3
kwerraną,3
kwinkaną,3
leskaną,3
limpaną,3
lingwaną,3
linnaną,3
melkaną,3
rinnaną,3
selkaną,3
singwaną,3
sinkwaną,3
sinnaną,3
skelbaną,3
skeldaną,3
skellaną,3
skertaną,3
skrimbaną,3
skrimpaną,3
skrindaną,3
skrinkwaną,3
slindaną,3
slingwaną,3
slinkaną,3
smeltaną,3
smertaną,3
snerkaną,3
spinnaną,3
springaną,3
sprintaną,3
spurnaną,3
sterbaną,3
stinganą,3
stinkwaną,3
stintaną,3
swelganą,3
swellaną,3
sweltaną,3
swerbaną,3
swerkaną,3
swimmaną,3
swindaną,3
swinganą,3
swinkaną,3
teldaną,3
tinhaną,3
trinnaną,3
turnaną,3
twinganą,3
uzwerpaną,3
wellaną,3
weltaną,3
welwaną,3
werpaną,3
werzaną,3
werþaną,3
windaną,3
winnaną,3
wrimpaną,3
wringaną,3
þinhaną,3
þinsaną,3
þreskaną,3
þrimmaną,3
þrindaną,3
þrinhwaną,3
þrintaną,3
þwinhaną,3
fratrudaną,4
wulaną,4
tremaną,4
teraną,4
sweraną,4
bikwemaną,4
þweraną,4
uznemaną,4
uzberaną,4
kwelaną,4
atberaną,4
hreganą,4
stenaną,4
brekaną,4
beraną,4
nemaną,4
abanemaną,4
binemaną,4
bremaną,4
dwelaną,4
fraberaną,4
frakwemaną,4
franemaną,4
furaikwemaną,4
gaberaną,4
ganemaną,4
helaną,4
knudaną,4
kwemaną,4
kweraną,4
skeraną,4
stelaną,4
swelaną,4
temaną,4
trudaną,4
frawrekaną,5
brehaną,5
neþaną,5
sneganą,5
sweþaną,5
wedaną,5
hreþaną,5
gawedaną,5
jesaną,5
dewaną,5
hlefaną,5
fetaną,5
furaikweþaną,5
fehaną,5
frakweþaną,5
atgebaną,5
abagebaną,5
bigetaną,5
drepaną,5
etaną,5
fraetaną,5
fragebaną,5
frehnaną,5
ganesaną,5
gasehwaną,5
gawrekaną,5
gebaną,5
getaną,5
jedaną,5
jehaną,5
kwebaną,5
kweþaną,5
lekaną,5
lesaną,5
metaną,5
nesaną,5
rekaną,5
sehwaną,5
skehaną,5
skrepaną,5
snewaną,5
sprekaną,5
streþaną,5
swefaną,5
treganą,5
trekaną,5
uzgebaną,5
uzsehwaną,5
webaną,5
weganą,5
wesaną,5
wrekaną,5
bidjaną,5
bisitjaną,5
gabidjaną,5
gasitjaną,5
ligjaną,5
sitjaną,5
þigjaną,5
andastandaną,6
hnabaną,6
drabaną,6
fahaną,6
gadraganą,6
uzananą,6
ananą,6
atstandaną,6
frastandaną,6
fradraganą,6
alaną,6
kalaną,6
lapaną,6
skabaną,6
akaną,6
andasakaną,6
bakaną,6
bigrabaną,6
bistandaną,6
dabaną,6
draganą,6
faraną,6
flahaną,6
frafaraną,6
furaistandaną,6
galaną,6
gasakaną,6
gawahwaną,6
gnaganą,6
grabaną,6
haganą,6
hlaþaną,6
lahaną,6
malaną,6
sakaną,6
skakaną,6
slahaną,6
spananą,6
standaną,6
wadaną,6
wakaną,6
þwahaną,6
dawjaną,6
fraþjaną,6
gahabjaną,6
gaskapjaną,6
gawjaną,6
habjaną,6
hlahjaną,6
klawjaną,6
rafjaną,6
raþjaną,6
sabjaną,6
safjaną,6
skapjaną,6
skaþjaną,6
stapjaną,6
swarjaną,6
uberwahsijaną,6
wahsijaną,6
nūaną,7
arjaną,7
wōpijaną,7
fraisaną,7
swaitaną,7
taisaną,7
uzhaitaną,7
maitaną,7
laikaną,7
skaiþaną,7
haitaną,7
flaihaną,7
aikaną,7
swaipaną,7
stautaną,7
ausaną,7
hawwaną,7
bautaną,7
hlaupaną,7
aukaną,7
skraudaną,7
skaldaną,7
innganganą,7
uberganganą,7
furaiganganą,7
wallaną,7
umbiganganą,7
saltaną,7
blandaną,7
staldaną,7
waldaną,7
ganganą,7
fallaną,7
falþaną,7
bannaną,7
hanhaną,7
haldaną,7
waskaną,7
biganganą,7
fanhaną,7
furiganganą,7
pranganą,7
spannaną,7
uzganganą,7
walkaną,7
waltaną,7
krēaną,7
brēaną,7
uzrēdaną,7
nēaną,7
dēaną,7
mēaną,7
bēganą,7
brēdaną,7
blēsaną,7
hwēsaną,7
fēaną,7
hwētaną,7
þrēaną,7
slēpaną,7
lētaną,7
sēaną,7
wēaną,7
bēaną,7
blēaną,7
fralētaną,7
grētaną,7
knēaną,7
rēdaną,7
tēkaną,7
hwōpaną,7
hwōsaną,7
hlōaną,7
glōaną,7
flōkaną,7
swōganą,7
brōaną,7
flōaną,7
grōaną,7
hrōpaną,7
blōtaną,7
rōaną,7
blōaną,7
wrōtaną,7
